Delivery_person_Age,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance (in km)
32.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,40,13.763140802008653
39.0,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,42,10.737675922445108
20.0,Fog,Low,1,scooter,0.0,No,Metropolitian,16,3.1380694073889375
29.0,Fog,Low,2,motorcycle,0.0,No,Metropolitian,28,16.823768285553772
25.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,37,4.707104052532131
23.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,19,10.431932813898785
26.0,Cloudy,Low,1,scooter,1.0,No,Metropolitian,27,19.589860370731515
35.0,Fog,Low,1,scooter,1.0,No,Metropolitian,16,1.551514395979169
28.0,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,17,4.537439164405112
21.0,Windy,Jam,2,scooter,0.0,No,Urban,23,10.415259881975237
25.0,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,18,10.7066902091211
23.0,Sunny,High,1,motorcycle,0.0,No,Urban,13,1.5294079911865375
28.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,19,1.507323108861908
33.0,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,27,9.175822274004021
39.0,Cloudy,Jam,1,scooter,2.0,No,Metropolitian,45,10.883734942367136
35.0,Cloudy,Low,2,electric_scooter,0.0,No,Metropolitian,19,7.845173108613386
32.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,25,3.1099233720440784
25.0,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,18,4.654039812210055
28.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,19,10.983241696284242
23.0,Stormy,High,0,motorcycle,0.0,No,Metropolitian,23,1.5513966993650703
36.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,28,7.31899649511526
50.0,,,3,scooter,0.0,No,Urban,15,7.7567333273411565
32.0,Stormy,Medium,0,motorcycle,1.0,No,Urban,33,12.056467912277832
34.0,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,44,13.766038615058191
25.0,Stormy,Medium,1,scooter,1.0,No,Urban,19,12.270899359356426
37.0,Cloudy,Low,2,electric_scooter,1.0,No,Metropolitian,39,16.871835277515352
36.0,Fog,Jam,1,scooter,1.0,No,Metropolitian,41,13.740852946327324
32.0,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,29,13.561204009757175
50.0,,,3,electric_scooter,1.0,No,Metropolitian,35,10.737260597764733
28.0,Sandstorms,Jam,2,electric_scooter,0.0,No,Metropolitian,19,12.458756005752058
32.0,Fog,Low,0,motorcycle,0.0,No,Urban,39,19.88112690037696
29.0,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,45,13.390532026352956
37.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,31,9.414207472710384
25.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,24,7.562213708875614
34.0,Fog,Medium,2,electric_scooter,1.0,No,Metropolitian,18,7.845173108613386
28.0,Stormy,Jam,2,scooter,1.0,No,Urban,20,16.365888153130857
34.0,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,31,7.634236711867242
29.0,Stormy,Jam,2,motorcycle,0.0,No,Metropolitian,18,16.87340346863218
32.0,Fog,Low,2,electric_scooter,1.0,No,Metropolitian,18,3.109874956831217
22.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,18,3.0590935551867853
,Fog,Jam,0,motorcycle,,No,Metropolitian,42,12.211640457623606
21.0,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,33,12.438948024729351
38.0,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,43,19.882227239659187
31.0,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,37,17.04198395713103
30.0,Windy,Jam,0,motorcycle,2.0,Yes,Metropolitian,47,4.530901473573473
31.0,Fog,High,0,motorcycle,1.0,No,Metropolitian,31,3.0990232373642685
23.0,Windy,Medium,2,motorcycle,1.0,No,Metropolitian,27,10.884028364866003
21.0,Stormy,High,2,scooter,1.0,No,Metropolitian,14,1.5341836727606684
28.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,40,19.643623643702018
20.0,Sunny,Low,1,motorcycle,0.0,No,Metropolitian,16,3.0145482561366026
23.0,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,27,16.80256330471995
30.0,Sunny,Medium,0,motorcycle,1.0,No,Urban,20,6.198355147984955
27.0,Sandstorms,Jam,2,motorcycle,1.0,No,Urban,25,10.415979862923049
34.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,17,3.035957834368339
36.0,Cloudy,Jam,0,motorcycle,1.0,No,Urban,53,16.365371126059692
29.0,Windy,Medium,2,electric_scooter,1.0,No,Metropolitian,24,16.695410883026362
20.0,Windy,Low,2,motorcycle,1.0,,Metropolitian,13,1.5341077478966478
25.0,Stormy,Medium,2,scooter,0.0,No,Metropolitian,24,9.106839251583411
22.0,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,33,16.138483813097064
34.0,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36,10.69511863363468
27.0,Sandstorms,High,1,scooter,1.0,No,Metropolitian,13,6.110622448539019
35.0,Fog,Medium,0,motorcycle,2.0,No,Metropolitian,40,19.632314732102273
33.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,24,4.588870077617411
36.0,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,15,6.20544343389936
38.0,Fog,Low,1,scooter,0.0,No,Urban,15,1.533904981392392
29.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,38,12.189949482978568
22.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,34,7.551392642751796
35.0,Stormy,Jam,2,electric_scooter,0.0,No,Metropolitian,26,4.647989396386271
39.0,Cloudy,Medium,2,scooter,1.0,No,Urban,17,7.775027531729311
27.0,Windy,Medium,2,scooter,1.0,No,Metropolitian,28,16.635180987928408
32.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,33,9.32931954189402
31.0,Sunny,Low,1,scooter,1.0,No,Metropolitian,29,14.121309628180253
21.0,Cloudy,Low,1,scooter,0.0,No,Metropolitian,19,1.551472641050793
35.0,Sandstorms,Medium,0,motorcycle,0.0,No,Metropolitian,37,6.136198133072297
34.0,Stormy,Low,1,scooter,1.0,No,Metropolitian,27,3.114623347189395
32.0,Cloudy,Jam,1,motorcycle,2.0,No,Metropolitian,39,10.705667688015271
38.0,Sunny,Low,1,motorcycle,1.0,No,Urban,13,1.5496929322394055
26.0,Sandstorms,Medium,1,motorcycle,1.0,No,Metropolitian,24,7.6353439932830005
37.0,Stormy,High,1,scooter,0.0,No,Metropolitian,25,1.5690347154047222
39.0,Stormy,High,0,motorcycle,2.0,No,Metropolitian,43,6.135765048576284
33.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,25,3.0584113440072622
25.0,Fog,Medium,2,scooter,2.0,No,Metropolitian,36,13.660333743166278
34.0,Stormy,Jam,1,scooter,0.0,No,Metropolitian,26,13.804694329473275
39.0,Sandstorms,Medium,2,scooter,0.0,No,Metropolitian,27,16.873028456138552
31.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,34,7.58940557012892
30.0,Sunny,Low,1,scooter,1.0,No,Urban,24,12.27203896204513
22.0,Cloudy,Low,2,scooter,1.0,No,Metropolitian,10,4.463962781432896
37.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,30,17.03947169055914
33.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,39,10.571398631736797
21.0,Fog,Jam,2,scooter,1.0,No,Urban,31,4.465068381023686
37.0,Cloudy,Low,1,scooter,0.0,No,Urban,15,1.5295340177411298
35.0,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,31,7.747250131783333
23.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,37,13.611101106406846
25.0,Stormy,Medium,2,scooter,0.0,No,Metropolitian,21,17.25937671693666
27.0,Cloudy,High,2,motorcycle,1.0,No,Metropolitian,28,1.551514395979169
31.0,Cloudy,Jam,2,motorcycle,1.0,No,Metropolitian,35,17.064278798392024
27.0,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,16,6.197859747845191
27.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,21,11.903157253917723
25.0,Windy,Medium,1,scooter,0.0,No,Urban,21,9.246361448215865
22.0,Sunny,Medium,1,motorcycle,0.0,No,Metropolitian,18,16.584575721196313
21.0,Sunny,Medium,1,motorcycle,0.0,No,Urban,17,10.666198494582975
24.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20,10.571531279029786
38.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,38,16.36695177863809
39.0,Fog,Jam,1,scooter,0.0,No,Metropolitian,41,16.391790312512946
38.0,Fog,Jam,2,electric_scooter,1.0,No,Metropolitian,34,7.670149314172875
27.0,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,20,7.634172816143166
36.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,31,12.270997217360403
34.0,Fog,Low,1,motorcycle,0.0,No,Metropolitian,17,4.582113704313907
30.0,Cloudy,Low,2,motorcycle,0.0,No,Urban,18,1.5690347154047222
,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,24,19.940607730289397
27.0,Windy,Jam,2,scooter,0.0,No,Urban,15,19.63267330546414
31.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23,1.5295340177411298
28.0,Fog,Low,1,scooter,0.0,No,Metropolitian,26,19.632051250802267
22.0,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,34,10.883802871295954
26.0,Sandstorms,High,1,motorcycle,0.0,No,Urban,17,3.036148984255033
38.0,Stormy,Low,1,scooter,1.0,No,Metropolitian,26,7.748287203509704
29.0,Windy,Low,1,scooter,0.0,No,Metropolitian,12,7.669768196606531
24.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,32,6.197224442000567
37.0,Cloudy,Low,2,scooter,1.0,No,Urban,16,4.588679297487378
24.0,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,21,7.647576369765245
33.0,Windy,Low,0,motorcycle,1.0,No,Metropolitian,26,7.480669078318166
21.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,24,7.774533589022428
26.0,Fog,Jam,1,motorcycle,0.0,No,Urban,33,12.235968121546597
27.0,Cloudy,Medium,1,scooter,1.0,No,Urban,11,7.319216357127336
24.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,23,12.085461869670294
22.0,Sunny,Medium,2,motorcycle,0.0,No,Urban,13,9.062116557948446
34.0,Stormy,Jam,2,scooter,1.0,No,Urban,31,9.106847014844618
24.0,Cloudy,Low,2,motorcycle,1.0,No,Urban,29,16.577936304617587
26.0,Windy,Low,1,motorcycle,0.0,No,Metropolitian,14,3.0553157793778154
33.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,38,13.960889853665337
23.0,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,12,17.06380089187026
27.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,17,4.580632424766456
25.0,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,11,7.589949107711548
33.0,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,40,11.905861749701417
27.0,Windy,Low,0,motorcycle,1.0,No,Urban,22,3.0592417522807835
,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,45,16.366036185589195
20.0,Cloudy,Low,0,motorcycle,0.0,No,Urban,24,1.5296079435702281
22.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,42,19.599406843262933
20.0,Stormy,Low,0,motorcycle,0.0,No,Urban,20,12.27013530437996
33.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,36,19.94039158436463
24.0,Sunny,Jam,2,scooter,1.0,No,Urban,11,13.563126557577556
20.0,Sandstorms,Medium,1,motorcycle,1.0,No,Metropolitian,22,19.85650618354499
24.0,Windy,Low,0,motorcycle,1.0,No,Metropolitian,19,17.25937671693666
36.0,Windy,Jam,2,motorcycle,0.0,No,Urban,33,7.5891604266051464
37.0,Stormy,Jam,1,scooter,2.0,No,Metropolitian,38,20.39744277518833
22.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,37,16.94950218139203
20.0,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,25,13.390365816953501
28.0,Windy,Low,2,motorcycle,0.0,No,Urban,10,20.823995403517568
36.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,20,10.62503240483848
31.0,Cloudy,Medium,1,scooter,1.0,No,Metropolitian,40,16.61668884062656
31.0,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,23,5857.481856183236
30.0,Sunny,Medium,0,motorcycle,1.0,No,Urban,20,4.588831209737105
24.0,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,19,9.107146029744738
34.0,Sunny,Jam,2,motorcycle,1.0,No,Metropolitian,20,4.464113950944991
25.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,29,7.747850339383857
33.0,Sunny,Jam,1,motorcycle,1.0,No,Urban,34,10.578396496459588
33.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,28,12.271826004680078
25.0,Stormy,Low,0,motorcycle,,No,Urban,15,2.9761332528407447
26.0,Sunny,Low,1,scooter,1.0,No,Metropolitian,20,1.5514056569298826
28.0,Windy,Medium,2,scooter,,No,Metropolitian,24,7.845173108613386
36.0,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,25,7.845173108613386
36.0,Sunny,Jam,2,motorcycle,0.0,No,Metropolitian,15,7.589543265875354
23.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,22,6.276138627413788
32.0,Cloudy,Jam,0,motorcycle,1.0,No,Urban,28,8.928193235546871
38.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,23,16.577467522010476
36.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,26,12.056961846384159
28.0,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,26,13.71345000990478
23.0,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,16,1.5112654641612857
35.0,Windy,Jam,0,motorcycle,2.0,No,Urban,40,9.308258482124039
37.0,Sunny,Medium,2,scooter,1.0,No,Metropolitian,26,17.10252778809447
27.0,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,24,6.049865202309801
38.0,Windy,Medium,2,motorcycle,0.0,No,Metropolitian,22,20.13716524271883
36.0,Cloudy,Low,2,scooter,0.0,No,Metropolitian,15,3.0591554028681602
35.0,Stormy,High,2,electric_scooter,1.0,No,Metropolitian,28,6.219648077689977
25.0,Stormy,Low,2,scooter,1.0,No,Urban,19,4.531317330937984
27.0,Fog,Jam,2,scooter,1.0,No,Urban,30,10.571719515495113
31.0,Cloudy,Low,2,motorcycle,0.0,No,Metropolitian,16,1.551514395979169
27.0,Sunny,High,1,motorcycle,1.0,No,Metropolitian,18,6.205285279769409
27.0,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,29,3.068176200916627
23.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,31,10.859486478314285
32.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,30,7.670294054159628
32.0,Windy,Medium,2,scooter,1.0,No,Metropolitian,25,17.25937671693666
,Cloudy,Low,1,scooter,0.0,No,Urban,11,7.747259356564115
25.0,Fog,Low,0,motorcycle,1.0,No,Urban,21,12.271760427740944
22.0,Cloudy,Jam,2,motorcycle,0.0,No,Metropolitian,33,7.747301749382051
30.0,Cloudy,Medium,1,motorcycle,0.0,No,Metropolitian,15,7.747307276930582
,Sandstorms,High,1,scooter,1.0,No,Metropolitian,32,6.219648077689977
36.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,22,1.526605791744041
31.0,Fog,Medium,0,motorcycle,,No,Metropolitian,31,9.414207472710384
34.0,Sunny,Low,1,scooter,1.0,No,Urban,13,1.5125407936966184
38.0,Windy,Jam,0,motorcycle,1.0,No,Semi-Urban,49,19.846613904419858
,,,3,electric_scooter,1.0,No,Metropolitian,19,1.5080352328219075
22.0,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,30,12.410449792093456
24.0,Fog,Medium,2,scooter,0.0,No,Metropolitian,12,9.176411719332265
28.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,33,7.747850339383857
25.0,Stormy,Jam,0,motorcycle,2.0,No,Urban,38,16.610672955997156
34.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,29,9.329273468280855
35.0,Stormy,Medium,1,scooter,0.0,No,Urban,30,20.244827608979687
28.0,Fog,Medium,1,scooter,1.0,No,Urban,11,7.58914997465734
32.0,Sandstorms,Jam,1,motorcycle,1.0,No,Urban,27,13.660085685164507
36.0,Cloudy,High,1,scooter,1.0,No,Metropolitian,28,1.51798712661804
36.0,Cloudy,High,0,motorcycle,0.0,No,Urban,25,1.4884329736185136
34.0,Windy,Jam,0,motorcycle,1.0,Yes,Metropolitian,42,16.611554699066566
22.0,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,14,9.297076456518699
25.0,Cloudy,High,1,scooter,1.0,No,Urban,32,1.5494964829535065
28.0,Cloudy,Medium,0,motorcycle,0.0,No,Metropolitian,23,7.536651156165946
,Windy,Low,0,motorcycle,1.0,No,Metropolitian,23,20.827428182143155
38.0,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,25,10.844094035054757
31.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,35,11.968223119507524
34.0,Windy,Low,2,motorcycle,0.0,No,Metropolitian,29,17.25937671693666
32.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,22,1.5413188160998084
21.0,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,42,10.586839147737281
26.0,Sunny,Low,1,scooter,0.0,No,Metropolitian,22,3.020740639039143
35.0,Sunny,High,1,motorcycle,0.0,No,Metropolitian,17,6.041610424267577
25.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,17,1.5549425189076143
20.0,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,15,10.472504260051222
37.0,Windy,Medium,2,electric_scooter,0.0,No,Metropolitian,33,4.601874452778276
29.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,29,9.414207472710384
34.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,32,16.79744377860206
25.0,Fog,Low,1,scooter,0.0,No,Urban,11,3.01454444374032
34.0,Stormy,Jam,2,scooter,0.0,No,Metropolitian,31,10.586839147737281
21.0,Windy,Low,0,motorcycle,1.0,No,Urban,24,19.8819444814936
34.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,29,8.803820000262046
33.0,Sunny,Jam,1,scooter,0.0,No,,22,7.747301749382051
21.0,Sunny,Low,2,scooter,1.0,No,Metropolitian,24,4.521805068141998
37.0,Sandstorms,Medium,2,scooter,0.0,No,Metropolitian,34,20.39744277518833
39.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,29,3.035957834368339
36.0,Windy,Low,0,motorcycle,1.0,No,Urban,23,19.73096126394095
27.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,15,8.918860360120641
31.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,48,14.121309628180253
27.0,Sunny,Medium,2,motorcycle,0.0,No,Urban,18,10.625346368622562
36.0,Fog,Medium,2,electric_scooter,1.0,No,,16,6.1978071330011595
,Stormy,Medium,1,scooter,1.0,No,Metropolitian,36,14.121309628180253
30.0,Windy,Jam,1,scooter,1.0,No,Metropolitian,36,10.858949705193933
37.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,48,7.845173108613386
31.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,23,9.177302192003234
34.0,Fog,Jam,1,scooter,1.0,No,Metropolitian,29,4.707104052532131
32.0,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,42,20.03139206281247
39.0,Sunny,Medium,2,scooter,0.0,No,Metropolitian,20,7.648136370477106
30.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,22,3.1380694073889375
26.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,19,2.976159387614025
21.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,20,11.891391349003445
35.0,Windy,Jam,1,motorcycle,1.0,No,Urban,32,20.141124436630037
27.0,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,22,17.25937671693666
34.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,40,19.844234597378588
31.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,27,1.5280012878807168
31.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,26,6.205452157234621
22.0,Sandstorms,Medium,2,electric_scooter,1.0,No,Urban,22,9.20423484179557
38.0,Sunny,Medium,1,motorcycle,1.0,No,Urban,20,7.747850339383857
21.0,Fog,Low,2,scooter,0.0,No,Metropolitian,15,9.296566687565383
21.0,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,25,16.873028456138552
20.0,Cloudy,Medium,2,scooter,1.0,No,Urban,12,9.161008089283115
37.0,Sunny,Jam,2,electric_scooter,0.0,No,Metropolitian,27,16.611108704814665
38.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,32,4.654290210819338
39.0,Fog,Medium,1,scooter,1.0,No,Metropolitian,40,12.05632146227304
36.0,Stormy,Medium,1,scooter,1.0,No,,33,12.08243817971067
38.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,25,1.5514034361579578
30.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,30,7.539549587750546
28.0,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,24,7.746447000058102
28.0,Windy,Low,2,scooter,0.0,No,Metropolitian,17,4.648411816939903
38.0,Stormy,Medium,2,scooter,1.0,No,Metropolitian,33,20.16698937867584
20.0,Cloudy,Low,1,scooter,1.0,,Urban,11,1.5548963739937318
,Sandstorms,Low,1,motorcycle,,No,Metropolitian,15,1.549479697041728
23.0,Stormy,Low,0,motorcycle,1.0,No,Urban,15,2.976035478042477
39.0,Fog,Medium,2,scooter,0.0,No,Metropolitian,17,4.521861258382678
29.0,Sandstorms,Jam,2,scooter,1.0,No,Urban,22,13.750484667228228
24.0,Sunny,Jam,2,scooter,0.0,No,Urban,12,17.25937671693666
25.0,Windy,Jam,1,scooter,0.0,No,Metropolitian,29,7.746455707766812
32.0,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,31,4.391724962431041
35.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,23,3.0146017669132554
37.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,35,12.081089159931416
20.0,Fog,Medium,1,scooter,1.0,No,Metropolitian,15,6.2054267911859675
33.0,Stormy,Low,1,scooter,1.0,No,Metropolitian,15,13.944529384855876
26.0,Sunny,Low,2,scooter,1.0,No,Urban,20,7.845173108613386
30.0,Windy,Low,0,motorcycle,0.0,No,Urban,20,20.861924695010995
37.0,Windy,Medium,1,motorcycle,1.0,No,,24,13.739092156271393
20.0,Windy,Jam,1,scooter,1.0,No,Urban,29,9.107658825826476
35.0,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,31,13.96125180183943
23.0,Cloudy,Jam,0,motorcycle,2.0,Yes,Metropolitian,42,13.390793718689235
30.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,21,1.529710385539973
21.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,32,13.765270756610786
28.0,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,19,20.827407215133082
28.0,Sunny,Jam,0,motorcycle,3.0,No,Semi-Urban,50,7.774261130376622
29.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,23,9.204543446314432
21.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,19,16.824024800777703
20.0,Windy,High,2,electric_scooter,1.0,No,Urban,23,6.045613612697801
34.0,Windy,Low,1,motorcycle,0.0,No,Urban,21,10.844970847441447
36.0,Stormy,Jam,0,motorcycle,3.0,No,Metropolitian,51,12.235136123611104
20.0,Sunny,Jam,2,scooter,1.0,No,Urban,16,13.99363480725943
24.0,Sandstorms,Low,1,motorcycle,1.0,No,,15,1.5073380516053525
29.0,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,22,5.952102906712126
38.0,Cloudy,Low,0,motorcycle,1.0,No,Urban,38,13.804694329473275
25.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,28,3.0993562253811637
,,,3,motorcycle,1.0,No,Metropolitian,18,9.061267391834598
